ITSupportGroup,ITSupportOnCall,ITSupportEMail,ITManager,ITDirector,ITExecDirector
Analytics,312-555-1222,analytx@t2.com,David Warner,Mark Zuckerberg,Sheryl Sandberg
Call Center,312-555-1221,cc@t2.com,AB de Villiers,Tim Cook,Sundar Pichai
Clinical Engineering,312-555-1215,clinengg@t2.com,Kumar Sangakkara,Mohammed Yousef,Claire McCaskill
Construction,312-555-1225,conx@t2.com,Shivnarine Chanderpaul,Don Bradman,Viv Richards
DBA,312-555-1220,dba@t2.com,Rahul Dravid,Melinda Gates,Anand Mahindra
EMR Support,312-555-1212,emrsupport@t2.com,Sachin Tendulkar,Younis Khan,Rohit Sharma
Facilities,312-555-1223,fac@t2.com,Sanath Jayasuriya,Sachin Tendulkar,Rahul Bhosle
Field Services,312-555-1214,field@t2.com,Virat Kohli,Ross Taylor,Virender Sehwag
Integration,312-555-1213,integration@t2.com,Ricky Ponting,Matthew Hayden,Sourav Ganguly
Network,312-555-1219,network@t2.com,Brian Lara,Jeff Bezos,Mukesh Ambani
Parking,312-555-1224,park@t2.com,Chris Gayle,Aravinda De Silva,Javed Miandad
PMO,312-555-1225,pmo@t2.com,Aravinda De Silva,Alan Border,Greg Chappell
Security,312-555-1218,sec@t2.com,Mahela Jayawardhane,Mitchell Long,Blake Cox
Testing,312-555-1217,test@t2.com,Hashim Amla,Clint Eastwood,Jodi Foster
Training,312-555-1216,train@t2.com,Jacques Kallis,Tillakaratne Dilshan,Will Smith
Pharmacy Desk,312-555-1217,pharmacy@t2.com,Hashim Amla,Clint Eastwood,Jodi Foster
Talent,312-555-1216,talent@t2.com,Jacques Kallis,Tillakaratne Dilshan,Will Smith
